meeting_date,name,direction
2016-03-16,Esther L. George,raise
2016-04-27,Esther L. George,raise
2016-07-27,Esther L. George,raise
2016-09-21,Esther L. George,raise
2016-09-21,Loretta J. Mester,raise
2016-09-21,Eric Rosengren,raise
2016-11-02,Esther L. George,raise
2016-11-02,Loretta J. Mester,raise
2017-03-15,Neel Kashkari,maintain
2017-06-14,Neel Kashkari,maintain
2017-12-13,Charles L. Evans,maintain
2017-12-13,Neel Kashkari,maintain
2019-06-19,James Bullard,lower
2019-07-31,Esther L. George,maintain
2019-07-31,Eric S. Rosengren,maintain
2019-09-18,James Bullard,lower
2019-09-18,Esther L. George,maintain
2019-09-18,Eric S. Rosengren,maintain
2019-10-30,Esther L. George,maintain
2019-10-30,Eric S. Rosengren,maintain
2020-03-15,Loretta J. Mester,lower
2020-09-16,Robert S. Kaplan,unclear
2020-09-16,Neel Kashkari,unclear
2022-03-16,James Bullard,raise
2022-06-15,Esther L. George,raise
2024-09-18,Michelle W. Bowman,lower
2024-12-18,Beth M. Hammack,maintain
2025-03-19,Christopher J. Waller,unclear
2025-07-30,Michelle W. Bowman,lower
2025-07-30,Christopher J. Waller,lower
2025-09-17,Stephen I. Miran,lower
2025-10-29,Stephen I. Miran,lower
2025-12-10,Stephen I. Miran,lower
2025-12-10,Austan D. Goolsbee,maintain
2025-12-10,Jeffrey R. Schmid,maintain
2026-01-28,Stephen I. Miran,lower
2026-01-28,Christopher J. Waller,lower
2026-03-18,Stephen I. Miran,lower
2026-04-29,Stephen I. Miran,lower
2026-04-29,Beth M. Hammack,unclear
2026-04-29,Neel Kashkari,unclear
2026-04-29,Lorie K. Logan,unclear
2026-07-29,Beth M. Hammack,raise
2026-07-29,Neel Kashkari,raise
2026-07-29,Lorie K. Logan,raise
