meeting_date,statement_type,vote_for,vote_against,target_lower,target_upper,decision
2016-01-27,decision,10,0,0.25,0.5,hold
2016-03-16,decision,9,1,0.25,0.5,hold
2016-04-27,decision,9,1,0.25,0.5,hold
2016-06-15,decision,10,0,0.25,0.5,hold
2016-07-27,decision,9,1,0.25,0.5,hold
2016-09-21,decision,7,3,0.25,0.5,hold
2016-11-02,decision,8,2,0.25,0.5,hold
2016-12-14,decision,10,0,0.5,0.75,hike
2017-02-01,decision,10,0,0.5,0.75,hold
2017-03-15,decision,9,1,0.75,1.0,hike
2017-05-03,decision,9,0,0.75,1.0,hold
2017-06-14,decision,8,1,1.0,1.25,hike
2017-07-26,decision,9,0,1.0,1.25,hold
2017-09-20,decision,9,0,1.0,1.25,hold
2017-11-01,decision,9,0,1.0,1.25,hold
2017-12-13,decision,7,2,1.25,1.5,hike
2018-01-31,decision,9,0,1.25,1.5,hold
2018-03-21,decision,8,0,1.5,1.75,hike
2018-05-02,decision,8,0,1.5,1.75,hold
2018-06-13,decision,8,0,1.75,2.0,hike
2018-08-01,decision,8,0,1.75,2.0,hold
2018-09-26,decision,9,0,2.0,2.25,hike
2018-11-08,decision,9,0,2.0,2.25,hold
2018-12-19,decision,10,0,2.25,2.5,hike
2019-01-30,decision,10,0,2.25,2.5,hold
2019-03-20,decision,10,0,2.25,2.5,hold
2019-05-01,decision,10,0,2.25,2.5,hold
2019-06-19,decision,9,1,2.25,2.5,hold
2019-07-31,decision,8,2,2.0,2.25,cut
2019-09-18,decision,7,3,1.75,2.0,cut
2019-10-11,operational,,,,,
2019-10-30,decision,8,2,1.5,1.75,cut
2019-12-11,decision,10,0,1.5,1.75,hold
2020-01-29,decision,10,0,1.5,1.75,hold
2020-03-03,decision,10,0,1.0,1.25,cut
2020-03-15,decision,9,1,0.0,0.25,cut
2020-03-23,operational,,,,,
2020-04-29,decision,10,0,0.0,0.25,hold
2020-06-10,decision,10,0,0.0,0.25,hold
2020-07-29,decision,10,0,0.0,0.25,hold
2020-09-16,decision,8,2,0.0,0.25,hold
2020-11-05,decision,10,0,0.0,0.25,hold
2020-12-16,decision,10,0,0.0,0.25,hold
2021-01-27,decision,11,0,0.0,0.25,hold
2021-03-17,decision,11,0,0.0,0.25,hold
2021-04-28,decision,11,0,0.0,0.25,hold
2021-06-16,decision,11,0,0.0,0.25,hold
2021-07-28,decision,11,0,0.0,0.25,hold
2021-09-22,decision,11,0,0.0,0.25,hold
2021-11-03,decision,11,0,0.0,0.25,hold
2021-12-15,decision,11,0,0.0,0.25,hold
2022-01-26,decision,9,0,0.0,0.25,hold
2022-03-16,decision,8,1,0.25,0.5,hike
2022-05-04,decision,9,0,0.75,1.0,hike
2022-06-15,decision,10,1,1.5,1.75,hike
2022-07-27,decision,12,0,2.25,2.5,hike
2022-09-21,decision,12,0,3.0,3.25,hike
2022-11-02,decision,12,0,3.75,4.0,hike
2022-12-14,decision,12,0,4.25,4.5,hike
2023-02-01,decision,12,0,4.5,4.75,hike
2023-03-22,decision,11,0,4.75,5.0,hike
2023-05-03,decision,11,0,5.0,5.25,hike
2023-06-14,decision,11,0,5.0,5.25,hold
2023-07-26,decision,11,0,5.25,5.5,hike
2023-09-20,decision,12,0,5.25,5.5,hold
2023-11-01,decision,12,0,5.25,5.5,hold
2023-12-13,decision,12,0,5.25,5.5,hold
2024-01-31,decision,12,0,5.25,5.5,hold
2024-03-20,decision,12,0,5.25,5.5,hold
2024-05-01,decision,12,0,5.25,5.5,hold
2024-06-12,decision,12,0,5.25,5.5,hold
2024-07-31,decision,12,0,5.25,5.5,hold
2024-09-18,decision,11,1,4.75,5.0,cut
2024-11-07,decision,12,0,4.5,4.75,cut
2024-12-18,decision,11,1,4.25,4.5,cut
2025-01-29,decision,12,0,4.25,4.5,hold
2025-03-19,decision,11,1,4.25,4.5,hold
2025-05-07,decision,12,0,4.25,4.5,hold
2025-06-18,decision,12,0,4.25,4.5,hold
2025-07-30,decision,9,2,4.25,4.5,hold
2025-09-17,decision,11,1,4.0,4.25,cut
2025-10-29,decision,10,1,3.75,4.0,cut
2025-12-10,decision,9,3,3.5,3.75,cut
2026-01-28,decision,10,2,3.5,3.75,hold
2026-03-18,decision,11,1,3.5,3.75,hold
2026-04-29,decision,8,4,3.5,3.75,hold
2026-06-17,decision,12,0,3.5,3.75,hold
2026-07-29,decision,9,3,3.5,3.75,hold
2026-09-16,decision,12,0,3.75,4.0,hike
